"Dürschke Georg";;;Vermögensteuergesetz;;;;3.406.02995.7;1081;Druckerzeugnis;;Haupt-Bibliothek;"KB 307 1";München;"C.H. Beck";1970;KB;;;"Ausländisches Steuerrecht";Deutschland;;"hsg duplicate";0996230;0996495;;
"Aaron Henry J.";;;"Who Pays The Property Tax? A New View";;;;0.8157.0022.9;105;Druckerzeugnis;;Haupt-Bibliothek;"CA 180";Washington;"Brookings Institution";1975;YL7;YL8;YL9;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre";"hsg duplicate";0996502;0363459;;
"Endres Alfred";;;Umweltökonomie;;;;3.423.12106.6;178;Druckerzeugnis;"Eine Einführung";Haupt-Bibliothek;"WD 221";Darmstadt;"Wissenschaftliche Buchgesellschaft";1994;WD;;;"Uebrige Literatur";"Diverse Gebiete, Umweltschutz";;"hsg duplicate";0996503;0071063;;
"Boskin Michael J.";"Wildavsky Aaron";;"The Federal Budget Economics and Politics";;;;0-917616-48-0;398;Druckerzeugnis;;Haupt-Bibliothek;"VB 172";"New Brunswick";Transaction;1982;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";"hsg duplicate";0996507;0201772;;
"Bremer Stuart A.";;;Weltmodellstudien;;;;3.445.02032.9;240;Druckerzeugnis;"Wachstumsprobleme und Lösungsmöglichkeiten";Haupt-Bibliothek;"AG 329";Königstein;"Anton Hain";1980;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";;"hsg duplicate";0996512;0354197;;
"Ewringmann Dieter";"Hansmeyer Karl-Heinrich";;"Zur Beurteilung von Subventionen";;;;3.531.02468.X;165;Druckerzeugnis;"Forschungsberichte des Landes NRW, Nr. 2468";Haupt-Bibliothek;"BC 222";Opladen;"Westdeutscher Verlag";1975;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";"hsg duplicate";0996515;0363458;;
"Bernholz Peter";;;"The International Game of Power";"Past-Present and Future";;;"3.11.009784.2 0.89925.033.5";218;Druckerzeugnis;"Studies in the Social Sciences No. 42";Haupt-Bibliothek;"WD 191";Berlin;"Mouton Publication";1985;WD;;;"Uebrige Literatur";"Diverse Gebiete, Umweltschutz";;"hsg duplicate";0996516;0035086;;
"Känzig Ernst";;;"Wehrsteuer (Direkte Bundessteuer)";"I. Teil";"Art. 1-44 WStB";;-;884;Druckerzeugnis;"Einleitung, Wehrsteuerpflicht, Wehrsteuer der natürlichen Personen- Die eidgenössischen Steuern, Zölle und Abgaben, Bd. 4";"HB Steuerrecht";"JC 101 1";Basel;"Verlag für Recht und Gesellschaft";1982;JC;;;"Allgemeine Steuerrechtsliteratur";"Schweizerische Kommentare und Handbücher";;"hsg duplicate";0996517;0049790;"Art. 1-44 WStB";
"Werner Josua";;;"Wohlstand-Freiheit und Gerechtigkeit";;;;;218;Druckerzeugnis;"Dissertation der HSG, 1951";Haupt-Bibliothek;"AK 0101";Zürich;"Polygraphischer Verlag";1951;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";;"hsg duplicate";0996518;0135863;;
"Sommer Jürg H.";"Höpflinger François";;"Wandel der Lebensformen und soziale Sicherheit in der Schweiz";;;;3.7253.0369.X;137;Druckerzeugnis;"Forschungsstand und Wissenslücken";Haupt-Bibliothek;"AF 232";Grüsch;Rüegger;1989;YX;;;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";;"hsg duplicate";0996519;0021002;;
"Lenk Reinhard";;;"Zur Schätzung und Beurteilung konjunktureller Wirkungen öffentlicher Haushalte";;;;3.428.04252.2;269;Druckerzeugnis;;Haupt-Bibliothek;"AG 277";Berlin;"Duncker & Humblot";1979;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";;"hsg duplicate";0996520;0361739;;
"Westerkowsky Heinz";;;Verwaltungskosten-Beiträge;;;;;46;Druckerzeugnis;"Kostenanteilsverrechnungen im Haushalt";Separata;"WA Sep. 02";Kronach;"Carl Link";1977;"WA Sep. 02";;;"Uebrige Literatur";BWL;;"hsg duplicate";0996521;0189228;;
"Williamson Oliver E.";;;"The Economic Institutions of Capitalism";;;;0.02.934820.X;408;Druckerzeugnis;"Firms, Markets, Relational Contracting";Haupt-Bibliothek;"AK 1185";"New York";"The Free Press";1985;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";;"hsg duplicate";0996524;0000460;;
"Whynes David";;;"What is Political Economy?";;;;0.85520.746.9;216;Druckerzeugnis;"Eight Perspectives";Haupt-Bibliothek;"AK 1115";Oxford;"Basil Blackwell";1984;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";;"hsg duplicate";0996527;0201774;;
"Minsch Jürg";;;"Ursachen und Verursacherprinzip im Umweltbereich";;;;;371;Druckerzeugnis;"Dissertation HSG, 1988";Haupt-Bibliothek;"AJ 347";"St. Gallen";"Wilhelm Surbir";1988;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";;"hsg duplicate";0996528;0008273;;
"Meier Ruedi";"Walter Felix";;"Umweltabgaben für die Schweiz";;;;3.7253.0394.0;224;Druckerzeugnis;"Ein Beitrag zur Ökologisierung von Wirtschaft und Gesellschaft";Haupt-Bibliothek;"GC 109";Chur;Rüegger;1991;GC;;;Finanzrecht;Kausalabgaben;;"hsg duplicate";0996529;0033156;;
"Altermatt Bruno";;;"Verteilungswirkungen der schweizerischen Landwirtschaftspolitik";;;;3.7255.2102.6;295;Druckerzeugnis;"Basler Dissertation";Haupt-Bibliothek;"AK 0428";Zürich;Schulthess;1981;YR;;;Wirtschaftswissenschaften;"Gewerbepolitik. Einzelne Wirtschaftszweige";;"hsg duplicate";0996530;0204325;;
"Kahn Alfred E.";;;"The Economics of Regulation";"Principles and Institutions";"Vol. 1";;0.471.45430.3;200;Druckerzeugnis;"Vol. 1: Principles";Haupt-Bibliothek;"AK 0170 1";"New York";Wiley;1970;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";;"hsg duplicate";0996532;0197260;"Vol. 1";Principles
"Meyer Laurence H.";;;"The Economic Consequences of Government Deficits";;;;0.89838.143.6;235;Druckerzeugnis;;Haupt-Bibliothek;"DA 158";Boston;Kluwer-Nijhoff;1983;YL2;YL7;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";"hsg duplicate";0996534;0683826;;
"Brown C. V.";;;"Taxation and Labour Supply";;;;0.04.336073.4;268;Druckerzeugnis;;Haupt-Bibliothek;"AG 339";London;"George Allen & Unwin";1981;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";;"hsg duplicate";0996535;0358952;;
"Glaser Hermann";;;Urbanistik;;;;"3.406.04915 X";250;Druckerzeugnis;"Neue Aspekte der Stadtentwicklung";Haupt-Bibliothek;"AJ 250";München;"C.H. Beck";1974;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";;"hsg duplicate";0996538;0346843;;
"Sullivan K.";;;"The Search for Tax Principles in the European Economic Community";;;;;96;Druckerzeugnis;;Haupt-Bibliothek;"CA 171";Cambridge;"The Law School of Harvard University";1963;YL7;YL8;YL9;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre";"hsg duplicate";0996541;0360757;;
"Goode Richard";;;"The Individual Income Tax";;;;0.8157.3198.1;339;Druckerzeugnis;;Haupt-Bibliothek;"CA 187";Washington;"Brookings Institution";1976;YL7;YL8;YL9;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre";"hsg duplicate";0996543;0365130;;
"Neumark Fritz";;;"Wirtschafts- und Finanzprobleme des Interventionsstaates";;;;;408;Druckerzeugnis;;Haupt-Bibliothek;"AC 102";Tübingen;"J.C.B. Mohr";1961;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;"hsg duplicate";0996544;0204629;;
"Levitt M. S.";"Treasury H. M.";;"Problems of Efficiency";;;;0.04.330213.0;33-41;Druckerzeugnis;"In: Hauser M.M. (Hrsg.): The Economics of Medical Care";Haupt-Bibliothek;;London;"George Allen & Unwin";;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";"hsg duplicate";0996545;0881798;;
"Veit Otto";;;"Währungspolitik als Kunst des Unmöglichen";;;;;229;Druckerzeugnis;"Zwölf Vorträge";Haupt-Bibliothek;"AK 0225";Frankfurt;"Fritz Knapp";1968;YK;;;Wirtschaftswissenschaften;"Geld, Kredit- und Bankwesen. Bankbetriebslehre";;"hsg duplicate";0996546;0360525;;
